,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
LOCATION,foreign_born_total_2000,foreign_born_total_2001,foreign_born_total_2002,foreign_born_total_2003,foreign_born_total_2004,foreign_born_total_2005,foreign_born_total_2006,foreign_born_total_2007,foreign_born_total_2008,foreign_born_total_2009,foreign_born_total_2010,foreign_born_total_2011,foreign_born_total_2012,foreign_born_total_2013,foreign_born_total_2014,foreign_born_total_2015,foreign_born_total_2016,foreign_born_total_2017,foreign_born_total_2018,
MN,0.053,0.06,0.065,0.061,0.062,0.066,0.067,0.067,0.069,0.068,0.072,0.074,0.075,0.074,0.081,0.083,0.088,0.088,0.086, 
MS,0.014,0.015,0.011,0.016,0.013,0.016,0.019,0.018,0.02,0.02,0.021,0.023,0.019,0.022,0.021,0.023,0.025,0.022,0.025, 
MO,0.028,0.03,0.031,0.034,0.032,0.036,0.033,0.035,0.036,0.036,0.039,0.042,0.038,0.038,0.037,0.039,0.048,0.043,0.043, 
MT,0.019,0.016,0.016,0.018,0.016,0.023,0.02,0.016,0.021,0.021,0.02,0.02,0.018,0.018,0.023,0.021,0.029,0.023,0.023, 
NE,0.043,0.046,0.043,0.048,0.048,0.056,0.057,0.06,0.06,0.058,0.06,0.062,0.066,0.061,0.064,0.065,0.08,0.079,0.072, 
NV,0.16,0.16,0.173,0.174,0.182,0.175,0.192,0.198,0.194,0.193,0.191,0.195,0.194,0.192,0.196,0.196,0.213,0.202,0.198, 
NH,0.042,0.047,0.046,0.051,0.05,0.06,0.059,0.048,0.049,0.055,0.054,0.054,0.056,0.057,0.059,0.057,0.066,0.064,0.062, 
NJ,0.176,0.182,0.19,0.193,0.189,0.196,0.203,0.201,0.201,0.204,0.212,0.215,0.213,0.217,0.219,0.223,0.233,0.229,0.231, 
NM,0.083,0.074,0.09,0.1,0.092,0.088,0.1,0.097,0.094,0.101,0.102,0.103,0.094,0.106,0.104,0.095,0.106,0.094,0.095, 
NY,0.205,0.204,0.211,0.209,0.212,0.214,0.217,0.22,0.218,0.215,0.224,0.224,0.229,0.225,0.228,0.231,0.24,0.231,0.231, 
NC,0.054,0.058,0.06,0.062,0.065,0.067,0.07,0.07,0.07,0.072,0.076,0.074,0.078,0.077,0.077,0.08,0.086,0.081,0.08, 
ND,0.019,0.024,0.022,0.027,0.025,0.024,0.024,0.021,0.022,0.027,0.025,0.024,0.028,0.027,0.037,0.033,0.037,0.044,0.048, 
OH,0.031,0.03,0.033,0.034,0.035,0.035,0.036,0.037,0.038,0.037,0.041,0.039,0.038,0.041,0.042,0.043,0.048,0.046,0.048, 
OK,0.038,0.042,0.042,0.045,0.045,0.045,0.049,0.052,0.05,0.053,0.056,0.055,0.056,0.058,0.057,0.06,0.064,0.058,0.06, 
OR,0.086,0.083,0.087,0.089,0.092,0.097,0.097,0.1,0.097,0.099,0.099,0.096,0.096,0.104,0.099,0.099,0.107,0.099,0.103, 
PA,0.042,0.045,0.046,0.047,0.047,0.052,0.051,0.054,0.054,0.054,0.058,0.06,0.06,0.064,0.064,0.064,0.074,0.069,0.073, 
RI,0.114,0.119,0.117,0.116,0.124,0.125,0.125,0.131,0.126,0.13,0.125,0.136,0.136,0.132,0.131,0.137,0.15,0.135,0.138, 
SC,0.03,0.028,0.035,0.034,0.04,0.042,0.041,0.044,0.043,0.046,0.046,0.048,0.047,0.049,0.047,0.048,0.056,0.048,0.051, 
SD,0.019,0.025,0.019,0.017,0.017,0.026,0.022,0.019,0.019,0.022,0.026,0.029,0.027,0.028,0.028,0.032,0.042,0.036,0.034, 
TN,0.028,0.031,0.033,0.032,0.038,0.038,0.039,0.04,0.041,0.042,0.046,0.048,0.044,0.047,0.05,0.049,0.056,0.052,0.053, 
TX,0.14,0.148,0.157,0.159,0.151,0.161,0.159,0.161,0.161,0.162,0.165,0.166,0.164,0.167,0.169,0.17,0.181,0.173,0.174, 
UT,0.072,0.074,0.073,0.074,0.07,0.079,0.085,0.083,0.083,0.079,0.085,0.086,0.084,0.084,0.087,0.083,0.091,0.089,0.085, 
VT,0.038,0.037,0.039,0.035,0.04,0.034,0.032,0.035,0.04,0.035,0.045,0.039,0.042,0.044,0.039,0.045,0.045,0.05,0.048, 
VA,0.081,0.084,0.089,0.093,0.097,0.1,0.103,0.103,0.103,0.104,0.114,0.113,0.117,0.117,0.123,0.123,0.137,0.126,0.127, 
WA,0.106,0.103,0.109,0.104,0.115,0.125,0.127,0.127,0.125,0.124,0.136,0.137,0.135,0.138,0.134,0.14,0.156,0.147,0.15, 
WV,0.011,0.011,0.011,0.015,0.008,0.012,0.011,0.012,0.013,0.012,0.012,0.013,0.014,0.015,0.015,0.017,0.022,0.017,0.015, 
WI,0.036,0.042,0.041,0.043,0.041,0.042,0.042,0.042,0.045,0.045,0.044,0.048,0.047,0.048,0.048,0.05,0.058,0.05,0.051, 
WY,0.025,0.021,0.024,0.022,0.03,0.023,0.032,0.032,0.024,0.029,0.03,0.029,0.032,0.032,0.04,0.032,0.042,0.036,0.031, 
