,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
LOCATION,homicide_crime_rate_2000,homicide_crime_rate_2001,homicide_crime_rate_2002,homicide_crime_rate_2003,homicide_crime_rate_2004,homicide_crime_rate_2005,homicide_crime_rate_2006,homicide_crime_rate_2007,homicide_crime_rate_2008,homicide_crime_rate_2009,homicide_crime_rate_2010,homicide_crime_rate_2011,homicide_crime_rate_2012,homicide_crime_rate_2013,homicide_crime_rate_2014,homicide_crime_rate_2015,homicide_crime_rate_2016,homicide_crime_rate_2017,homicide_crime_rate_2018
KS,6.3,3.4,2.9,4.6,4.5,3.7,4.5,3.8,4,4.4,3.4,3.9,2.9,4,3.2,4.3,4.5,4.6,4.2
KY,4.8,4.4,4.7,4.4,5.7,4.6,4.1,4.9,4.7,4.3,4.3,3.5,4.6,3.9,3.7,4.9,6,5.9,5.6
LA,12.5,11.2,13.2,13,12.7,10,12.9,14.6,12.3,11.8,11,11.1,10.6,10.7,10.2,10.5,11.8,12.3,11.4
ME,1.2,1.5,1.1,1.2,1.4,1.4,1.7,1.5,2.4,2,1.8,2,2,1.8,1.6,1.7,1.5,1.7,1.7
MD,8.1,8.3,9.4,9.5,9.4,9.9,9.7,9.9,8.8,7.7,7.4,6.8,6.3,6.5,6.1,9,8.9,9.3,8.1
MA,2,2.2,2.7,2.2,2.7,2.8,2.9,2.9,2.6,2.6,3.3,2.8,1.8,2.1,2,1.9,2,2.5,2
MI,6.7,6.7,6.8,6.1,6.4,6.2,7.1,6.6,5.5,6.2,5.9,6.2,7.1,6.3,5.5,5.9,6.2,5.7,5.6
MN,3.1,2.4,2.2,2.5,2.2,2.2,2.4,2.2,2.1,1.4,1.8,1.4,1.8,2.1,1.6,2.4,1.8,2,1.9
MS,9,9.9,9.2,9.3,7.8,7.4,7.9,6.9,8,6.6,6.9,7.8,7.1,7.3,8.7,8.5,7.9,6.4,7.2
MO,6.2,6.6,5.8,5.1,6.1,6.9,6.3,6.2,7.7,6.5,7,6.1,6.5,6.1,6.7,8.3,8.8,9.8,9.8
MT,2.2,3.8,1.8,3.3,3.2,1.9,3.5,2.8,4.1,3.3,2.5,2.9,2.9,2.3,3.7,3.7,3.6,3.9,3.5
NE,3.7,2.5,2.8,3.2,2.3,2.5,2.9,4,3.9,2.3,3,3.7,2.8,3,2.8,3.3,2.6,2.2,2.3
NV,6.5,8.6,8.4,8.8,7.4,8.5,9.1,7.5,6.3,5.9,5.8,5.1,4.5,5.8,6,6.2,7.8,8.9,6.7
NH,1.8,1.3,0.9,1.3,1.3,1.5,1,0.9,1.1,0.8,1,1.2,1.1,1.6,1.2,1.1,1.4,1,1.6
NJ,3.4,3.9,4,4.7,4.5,4.8,4.9,4.4,4.3,3.7,4.2,4.3,4.4,4.5,3.9,4.1,4.2,3.6,3.2
NM,7.4,5.4,8.2,6.2,8.9,7.5,6.9,9.3,8.1,9.9,6.8,7.6,5.6,5.9,4.8,5.6,6.7,6.9,7.3
NY,5,5,4.8,4.9,4.6,4.5,4.8,4.2,4.3,4,4.5,3.9,3.5,3.3,3.1,3.1,3.2,2.8,2.9
NC,7,6.2,6.6,6,6.2,6.7,6.1,6.4,6.5,5.2,5,5.2,4.9,4.7,5,5.2,6.7,6.1,5.5
ND,0.6,1.1,0.8,1.4,1.3,1.9,2.2,2.7,1.7,1.9,1.5,3.5,3.6,2.2,3.1,2.8,2.1,1.3,2.4
OH,3.7,4,4.6,4.6,4.4,5.1,4.9,4.6,4.8,4.6,4.2,4.3,4.1,4.1,4,4.5,5.9,6.4,5.1
OK,5.3,5.3,4.7,5.9,5.3,5.3,5.9,6.2,5.9,6.3,5.2,5.6,5.8,5.1,4.6,6.1,6.3,6.2,5.5
OR,2,2.4,2,1.9,2.5,2.2,2.4,2,2.3,2.3,2.5,2.2,2.3,2.1,2.1,2.7,2.8,2.5,2.1
PA,4.9,5.3,5.1,5.2,5.2,6.1,6,5.8,5.7,5.3,5.1,5,5.5,4.8,4.8,5.2,5.3,5.8,6.1
RI,4.3,3.7,3.8,2.3,2.4,3.2,2.5,1.8,3,3,2.8,1.9,2.5,2.9,2.5,2.9,2.7,2,1.5
SC,7.3,8.1,7.3,7.3,6.8,7.4,8.4,8.3,6.9,6.7,5.7,6.8,7,6.4,6.7,8.3,7.2,7.6,8.1
SD,0.9,0.9,1.4,1.3,2.2,2.3,3.8,3.9,4.6,3.7,2.8,2.4,2.8,2.1,2.7,3.8,3.2,3.1,1.4
TN,7.2,7.4,7.3,6.8,6.1,7.2,6.9,6.6,6.6,7.4,5.6,5.9,6.2,5.2,5.6,6.3,7.4,8,7.5
TX,5.9,6.2,6,6.4,6.1,6.1,5.9,5.9,5.6,5.4,4.9,4.4,4.4,4.3,4.4,4.8,5.3,5,4.6
UT,1.9,2.9,2,2.6,1.9,2.2,2,2.2,1.5,1.4,1.9,1.8,1.8,1.8,2.2,1.9,2.4,2.4,2
VT,1.5,1.1,2.1,2.4,2.6,1.3,2.2,2.1,2.7,1.3,1.1,1.8,1.3,1.6,1.6,1.6,2.2,2.7,1.8
VA,5.7,5.1,5.3,5.6,5.2,6.1,5.3,5.4,4.8,4.7,4.7,3.8,3.9,3.9,4.2,4.7,5.7,5.6,4.9
WA,3.3,3,3,3,3.1,3.3,3.1,2.7,2.9,2.9,2.3,2.4,3.1,2.4,2.5,3,2.7,3,3.1
WV,2.5,2.2,3.2,4,3.8,4.5,4.4,3.6,3.7,4.6,3.1,4.7,3.8,3.3,4.5,4.6,4.6,5.4,4.2
WI,3.2,3.6,2.8,3.3,2.8,3.7,3,3.3,2.6,2.6,2.7,2.4,3,2.8,2.8,4.2,4,3.3,3
WY,2.4,1.8,3,2.8,2.2,2.8,2.5,4,2.3,2,1.4,3.2,2.4,2.9,2.7,2.7,3.4,2.4,2.4
